time,latitude,longitude,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,compass,gps_x,gps_y,gps_z
1742888469.87861,-0.0029308205043037105,0.0019101983125460512,-0.05879518389701843,0.0800001472234726,0.15999992191791534,7.2197065353393555,3.920735878182313e-07,-6.897395987692789e-09,1.0932441063538079e-10,4.712389945983887,212.64230346679688,326.2574462890625,-0.05879518389701843
1742888469.9125626,-0.0029308205043037105,0.0019101983125460512,-0.05879518389701843,0.0800001472234726,0.15999992191791534,7.2197065353393555,3.920735878182313e-07,-6.897395987692789e-09,1.0932441063538079e-10,4.712389945983887,212.64230346679688,326.2574462890625,-0.05879518389701843
1742888469.93584,-0.0029308205043037105,0.0019101983125460512,-0.07597047835588455,0.020000018179416656,0.019999980926513672,6.637494087219238,-2.361269224593343e-07,-4.960968524869713e-09,4.272554532391837e-11,4.712389945983887,212.64230346679688,326.2574462890625,-0.07597047835588455
1742888469.9509013,-0.0029308205043037105,0.0019101983125460512,-0.08386316150426865,0.02000003680586815,0.039999980479478836,6.042245864868164,-2.1861961840841104e-07,-1.0599658928356348e-08,1.7104151428526393e-11,4.712389945983887,212.64230346679688,326.2574462890625,-0.08386316150426865
1742888469.9671142,-0.0029308205043037105,0.0019101983125460512,-0.08726995438337326,-0.03999992460012436,0.08000003546476364,5.459394454956055,-2.5783913315535756e-07,-9.475793483204598e-09,-2.5863561292638337e-11,4.712389945983887,212.64230346679688,326.2574462890625,-0.08726995438337326
1742888469.9930184,-0.0029308205043037105,0.0019101983125460512,-0.08936967700719833,-0.08000007271766663,-0.07999992370605469,4.968905448913574,-2.9611015861519263e-07,-1.2525775083815915e-08,-1.1504161512299049e-10,4.712389945983887,212.64230346679688,326.2574462890625,-0.08936967700719833
1742888470.0316103,-0.0029308205043037105,0.0019101983125460512,-0.09030728787183762,0.0800001472234726,0.15999992191791534,4.443124771118164,-2.9533043743867893e-07,-1.1952509204604667e-08,-8.01179678155961e-11,4.712389945983887,212.64230346679688,326.2574462890625,-0.09030728787183762
1742888470.0643706,-0.0029308205043037105,0.0019101983125460512,-0.0873108059167862,-3.814697180359872e-08,-0.03999999910593033,3.7845020294189453,-2.586266703019646e-07,-1.0645673675924172e-08,-4.423800215036522e-11,4.712389945983887,212.64230346679688,326.2574462890625,-0.0873108059167862
1742888470.1003554,-0.0029308205043037105,0.0019101983125460512,-0.08168874680995941,0.02000003680586815,0.039999980479478836,2.8022212982177734,-2.502459892639308e-07,-1.0172282571829783e-08,-1.1794847043500312e-10,4.712389945983887,212.64230346679688,326.2574462890625,-0.08168874680995941
1742888470.1214666,-0.002930821052601118,0.0019101841941265164,-0.06618700176477432,2.2613911628723145,-0.12008584290742874,1.171187400817871,-0.001359999063424766,-0.010043746791779995,-0.0030090180225670338,4.712347984313965,212.64073181152344,326.25750732421875,-0.06618700176477432
1742888470.1359813,-0.002930821052601118,0.0019101841941265164,-0.06618700176477432,8.884227752685547,-0.31925541162490845,0.6035432815551758,-0.004583621863275766,-0.02207416109740734,-0.010923538357019424,4.712224960327148,212.64073181152344,326.25750732421875,-0.06618700176477432
1742888470.1507623,-0.0029308224233233204,0.0019101519821984512,-0.06175435706973076,8.884227752685547,-0.31925541162490845,0.6035432815551758,-0.004583621863275766,-0.02207416109740734,-0.010923538357019424,4.712224960327148,212.63714599609375,326.2576599121094,-0.06175435706973076
1742888470.1754282,-0.0029308243423287195,0.0019101007172576154,-0.05746518820524216,10.568302154541016,-0.3178691864013672,0.2577857971191406,-0.004599231295287609,-0.031436819583177567,-0.01198921725153923,4.712061882019043,212.63143920898438,326.25787353515625,-0.05746518820524216
1742888470.2151017,-0.002930829551075931,0.0019099761187784186,-0.05035577714443207,9.657248497009277,-0.47557899355888367,0.029537200927734375,-0.006830912083387375,-0.03722400590777397,-0.020709052681922913,4.711634159088135,212.61756896972656,326.2584533691406,-0.05035577714443207
1742888470.2560983,-0.0029308561430525515,0.0019093266714798104,-0.028538227081298828,7.086420059204102,-0.26496973633766174,-0.6654739379882812,-0.007090321276336908,-0.043303363025188446,-0.03664114698767662,4.709176063537598,212.54527282714844,326.26141357421875,-0.028538227081298828
1742888470.2747633,-0.0029308657380795466,0.0019090937860935008,-0.023630542680621147,6.772960662841797,-0.2617761790752411,-0.9056758880615234,-0.006855997256934643,-0.0407545231282711,-0.041439395397901535,4.708399295806885,212.51934814453125,326.2624816894531,-0.023630542680621147
1742888470.2971637,-0.0029308657380795466,0.0019090937860935008,-0.023630542680621147,6.772960662841797,-0.2617761790752411,-0.9056758880615234,-0.006855997256934643,-0.0407545231282711,-0.041439395397901535,4.708399295806885,212.51934814453125,326.2624816894531,-0.023630542680621147
1742888470.323842,-0.002930893974919968,0.0019084559899178097,-0.01384313590824604,4.986720085144043,-0.22110572457313538,-1.1097564697265625,-0.004960749763995409,-0.030545422807335854,-0.050946854054927826,4.7063679695129395,212.44834899902344,326.265625,-0.01384313590824604
1742888470.3442376,-0.002930893974919968,0.0019084559899178097,-0.01384313590824604,4.986720085144043,-0.22110572457313538,-1.1097564697265625,-0.004960749763995409,-0.030545422807335854,-0.050946854054927826,4.7063679695129395,212.44834899902344,326.265625,-0.01384313590824604
1742888470.3617926,-0.0029309202927549904,0.001907854243687145,-0.007777881342917681,6.031982421875,-0.20984295010566711,-1.124349594116211,-0.003222884377464652,-0.02597511187195778,-0.04531259089708328,4.705423355102539,212.38136291503906,326.2685546875,-0.007777881342917681
